in:WWR,in:ShadeDepth,in:SHGC/VLT,in:U-Value,in:ExWall,out:EUI(kWh/m2),out:Normalized HVACp (W/m2),out:Average DA,out:Concrete KgCO2e,out:PB KgCO2e,out:Glasswool KgCO2e,out:Glass KgCO2e,out:Total KgCO2e,out:$ kWh/annual,out: WOL (KgCO2e/20yrs),img
50,0,0.22/30,5.8,R1.0,72.03,15.26,58.92,277680.74,82057.65,4773400,18534.55,5151672.94,33284,8213840,WWR1_ShadeDepth0_SHGCVLT0_U-Value2_ExWall1.png
75,0,0.22/30,5.8,R1.0,78.24,16.08,82.34,265614.76,80566.61,4709100,26379.73,5081661.1,36154,8407830,WWR2_ShadeDepth0_SHGCVLT0_U-Value2_ExWall1.png
25,300,0.22/30,5.8,R1.0,63.01,13.65,19.79,289746.71,83548.7,4837600,10689.37,5221584.78,29116,7900290,WWR0_ShadeDepth1_SHGCVLT0_U-Value2_ExWall1.png
50,300,0.22/30,5.8,R1.0,68.46,14.85,57.37,277680.74,82057.65,4773400,18534.55,5151672.94,31635,8062071,WWR1_ShadeDepth1_SHGCVLT0_U-Value2_ExWall1.png
75,300,0.22/30,5.8,R1.0,76.2,15.93,81.78,265614.76,80566.61,4709100,26379.73,5081661.1,35211,8321105,WWR2_ShadeDepth1_SHGCVLT0_U-Value2_ExWall1.png
25,600,0.22/30,5.8,R1.0,62.41,13.51,18.16,289746.71,83548.7,4837600,10689.37,5221584.78,28839,7874783,WWR0_ShadeDepth2_SHGCVLT0_U-Value2_ExWall1.png
50,600,0.22/30,5.8,R1.0,66.78,14.62,55.85,277680.74,82057.65,4773400,18534.55,5151672.94,30858,7990650,WWR1_ShadeDepth2_SHGCVLT0_U-Value2_ExWall1.png
75,600,0.22/30,5.8,R1.0,74.4,15.73,81.16,265614.76,80566.61,4709100,26379.73,5081661.1,34380,8244583,WWR2_ShadeDepth2_SHGCVLT0_U-Value2_ExWall1.png
25,0,0.45/50,5.8,R1.0,75.26,15.51,43.73,289746.71,83548.7,4837600,10689.37,5221584.78,34777,8421067,WWR0_ShadeDepth0_SHGCVLT1_U-Value2_ExWall1.png
50,0,0.45/50,5.8,R1.0,91.87,17.95,80.66,277680.74,82057.65,4773400,18534.55,5151672.94,42452,9057286,WWR1_ShadeDepth0_SHGCVLT1_U-Value2_ExWall1.png
75,0,0.45/50,5.8,R1.0,104.92,19.58,92.08,265614.76,80566.61,4709100,26379.73,5081661.1,48483,9542061,WWR2_ShadeDepth0_SHGCVLT1_U-Value2_ExWall1.png
25,300,0.45/50,5.8,R1.0,73.27,15.19,41.63,289746.71,83548.7,4837600,10689.37,5221584.78,33857,8336467,WWR0_ShadeDepth1_SHGCVLT1_U-Value2_ExWall1.png
50,300,0.45/50,5.8,R1.0,86.83,17.33,79.73,277680.74,82057.65,4773400,18534.55,5151672.94,40123,8843023,WWR1_ShadeDepth1_SHGCVLT1_U-Value2_ExWall1.png
75,300,0.45/50,5.8,R1.0,100.98,19.07,91.8,265614.76,80566.61,4709100,26379.73,5081661.1,46662,9374562,WWR2_ShadeDepth1_SHGCVLT1_U-Value2_ExWall1.png
25,600,0.45/50,5.8,R1.0,71.68,14.93,39.76,289746.71,83548.7,4837600,10689.37,5221584.78,33123,8268873,WWR0_ShadeDepth2_SHGCVLT1_U-Value2_ExWall1.png
50,600,0.45/50,5.8,R1.0,83.45,16.81,79,277680.74,82057.65,4773400,18534.55,5151672.94,38562,8699331,WWR1_ShadeDepth2_SHGCVLT1_U-Value2_ExWall1.png
75,600,0.45/50,5.8,R1.0,97.34,18.62,91.54,265614.76,80566.61,4709100,26379.73,5081661.1,44980,9219817,WWR2_ShadeDepth2_SHGCVLT1_U-Value2_ExWall1.png
25,0,0.7/65,5.8,R1.0,88.04,17.55,60.65,289746.71,83548.7,4837600,10689.37,5221584.78,40683,8964375,WWR0_ShadeDepth0_SHGCVLT2_U-Value2_ExWall1.png
50,0,0.7/65,5.8,R1.0,108.97,21.05,86.52,277680.74,82057.65,4773400,18534.55,5151672.94,50354,9784248,WWR1_ShadeDepth0_SHGCVLT2_U-Value2_ExWall1.png
75,0,0.7/65,5.8,R1.0,129.83,23.79,95.84,265614.76,80566.61,4709100,26379.73,5081661.1,59993,10601044,WWR2_ShadeDepth0_SHGCVLT2_U-Value2_ExWall1.png
25,300,0.7/65,5.8,R1.0,84.96,17.03,58.79,289746.71,83548.7,4837600,10689.37,5221584.78,39259,8833437,WWR0_ShadeDepth1_SHGCVLT2_U-Value2_ExWall1.png
50,300,0.7/65,5.8,R1.0,103.19,20.26,85.96,277680.74,82057.65,4773400,18534.55,5151672.94,47683,9538526,WWR1_ShadeDepth1_SHGCVLT2_U-Value2_ExWall1.png
75,300,0.7/65,5.8,R1.0,124.17,23.03,95.67,265614.76,80566.61,4709100,26379.73,5081661.1,57378,10360424,WWR2_ShadeDepth1_SHGCVLT2_U-Value2_ExWall1.png
25,600,0.7/65,5.8,R1.0,82.66,16.65,57.37,289746.71,83548.7,4837600,10689.37,5221584.78,38196,8735659,WWR0_ShadeDepth2_SHGCVLT2_U-Value2_ExWall1.png
50,600,0.7/65,5.8,R1.0,98.04,19.52,85.44,277680.74,82057.65,4773400,18534.55,5151672.94,45303,9319587,WWR1_ShadeDepth2_SHGCVLT2_U-Value2_ExWall1.png
75,600,0.7/65,5.8,R1.0,118.96,22.32,95.46,265614.76,80566.61,4709100,26379.73,5081661.1,54970,10138934,WWR2_ShadeDepth2_SHGCVLT2_U-Value2_ExWall1.png
