in:WWR,in:ShadeDepth,in:SHGC/VLT,in:U-Value,in:ExWall,out:EUI(kWh/m2),out:Normalized HVACp (W/m2),out:Average DA,out:Concrete KgCO2e,out:PB KgCO2e,out:Glasswool KgCO2e,out:Glass KgCO2e,out:Total KgCO2e,out:$ kWh/annual,out: WOL (KgCO2e/20yrs),img
75,600,0.7/65,3,R1.4,119.67,21.77,95.49,265614.76,80566.61,4759200,52682.32,5158063.69,55298,10245521,WWR2_ShadeDepth2_SHGCVLT2_U-Value0_ExWall0.png
25,0,0.22/30,4.5,R1.4,63.29,13.37,21.92,289746.71,83548.7,4961000,17784.36,5352079.77,29246,8042689,WWR0_ShadeDepth0_SHGCVLT0_U-Value1_ExWall0.png
50,0,0.22/30,4.5,R1.4,71.63,14.85,58.86,277680.74,82057.65,4860100,30836.72,5250675.11,33100,8295837,WWR1_ShadeDepth0_SHGCVLT0_U-Value1_ExWall0.png
75,0,0.22/30,4.5,R1.4,78.39,15.72,82.36,265614.76,80566.61,4759200,43889.08,5149270.45,36223,8481816,WWR2_ShadeDepth0_SHGCVLT0_U-Value1_ExWall0.png
25,300,0.22/30,4.5,R1.4,62.18,13.21,19.78,289746.71,83548.7,4961000,17784.36,5352079.77,28733,7995500,WWR0_ShadeDepth1_SHGCVLT0_U-Value1_ExWall0.png
50,300,0.22/30,4.5,R1.4,68.08,14.47,57.4,277680.74,82057.65,4860100,30836.72,5250675.11,31459,8144918,WWR1_ShadeDepth1_SHGCVLT0_U-Value1_ExWall0.png
75,300,0.22/30,4.5,R1.4,76.31,15.54,81.78,265614.76,80566.61,4759200,43889.08,5149270.45,35262,8393391,WWR2_ShadeDepth1_SHGCVLT0_U-Value1_ExWall0.png
25,600,0.22/30,4.5,R1.4,61.3,13.08,18.19,289746.71,83548.7,4961000,17784.36,5352079.77,28326,7958089,WWR0_ShadeDepth2_SHGCVLT0_U-Value1_ExWall0.png
50,600,0.22/30,4.5,R1.4,66.35,14.22,55.84,277680.74,82057.65,4860100,30836.72,5250675.11,30660,8071372,WWR1_ShadeDepth2_SHGCVLT0_U-Value1_ExWall0.png
75,600,0.22/30,4.5,R1.4,74.39,15.38,81.15,265614.76,80566.61,4759200,43889.08,5149270.45,34375,8311767,WWR2_ShadeDepth2_SHGCVLT0_U-Value1_ExWall0.png
25,0,0.45/50,4.5,R1.4,74.63,15.09,43.64,289746.71,83548.7,4961000,17784.36,5352079.77,34486,8524779,WWR0_ShadeDepth0_SHGCVLT1_U-Value1_ExWall0.png
50,0,0.45/50,4.5,R1.4,91.06,17.4,80.64,277680.74,82057.65,4860100,30836.72,5250675.11,42078,9121853,WWR1_ShadeDepth0_SHGCVLT1_U-Value1_ExWall0.png
75,0,0.45/50,4.5,R1.4,106.09,19.44,92.08,265614.76,80566.61,4759200,43889.08,5149270.45,49023,9659409,WWR2_ShadeDepth0_SHGCVLT1_U-Value1_ExWall0.png
25,300,0.45/50,4.5,R1.4,72.62,14.77,41.47,289746.71,83548.7,4961000,17784.36,5352079.77,33557,8439329,WWR0_ShadeDepth1_SHGCVLT1_U-Value1_ExWall0.png
50,300,0.45/50,4.5,R1.4,86.9,16.9,79.77,277680.74,82057.65,4860100,30836.72,5250675.11,40156,8945001,WWR1_ShadeDepth1_SHGCVLT1_U-Value1_ExWall0.png
75,300,0.45/50,4.5,R1.4,102,18.84,91.85,265614.76,80566.61,4759200,43889.08,5149270.45,47133,9485534,WWR2_ShadeDepth1_SHGCVLT1_U-Value1_ExWall0.png
25,600,0.45/50,4.5,R1.4,71.02,14.53,39.87,289746.71,83548.7,4961000,17784.36,5352079.77,32818,8371309,WWR0_ShadeDepth2_SHGCVLT1_U-Value1_ExWall0.png
50,600,0.45/50,4.5,R1.4,83.43,16.46,78.93,277680.74,82057.65,4860100,30836.72,5250675.11,38552,8797483,WWR1_ShadeDepth2_SHGCVLT1_U-Value1_ExWall0.png
75,600,0.45/50,4.5,R1.4,98.27,18.38,91.51,265614.76,80566.61,4759200,43889.08,5149270.45,45410,9326963,WWR2_ShadeDepth2_SHGCVLT1_U-Value1_ExWall0.png
25,0,0.7/65,4.5,R1.4,87.76,17.24,60.64,289746.71,83548.7,4961000,17784.36,5352079.77,40553,9082967,WWR0_ShadeDepth0_SHGCVLT2_U-Value1_ExWall0.png
50,0,0.7/65,4.5,R1.4,109.72,20.68,86.46,277680.74,82057.65,4860100,30836.72,5250675.11,50701,9915134,WWR1_ShadeDepth0_SHGCVLT2_U-Value1_ExWall0.png
75,0,0.7/65,4.5,R1.4,132.19,23.84,95.89,265614.76,80566.61,4759200,43889.08,5149270.45,61084,10768983,WWR2_ShadeDepth0_SHGCVLT2_U-Value1_ExWall0.png
25,300,0.7/65,4.5,R1.4,83.25,16.53,58.85,289746.71,83548.7,4961000,17784.36,5352079.77,38469,8891236,WWR0_ShadeDepth1_SHGCVLT2_U-Value1_ExWall0.png
50,300,0.7/65,4.5,R1.4,103.94,19.92,86.02,277680.74,82057.65,4860100,30836.72,5250675.11,48030,9669412,WWR1_ShadeDepth1_SHGCVLT2_U-Value1_ExWall0.png
75,300,0.7/65,4.5,R1.4,126.39,22.92,95.64,265614.76,80566.61,4759200,43889.08,5149270.45,58404,10522411,WWR2_ShadeDepth1_SHGCVLT2_U-Value1_ExWall0.png
25,600,0.7/65,4.5,R1.4,82.32,16.3,57.49,289746.71,83548.7,4961000,17784.36,5352079.77,38039,8851699,WWR0_ShadeDepth2_SHGCVLT2_U-Value1_ExWall0.png
50,600,0.7/65,4.5,R1.4,98.71,19.21,85.48,277680.74,82057.65,4860100,30836.72,5250675.11,45613,9447073,WWR1_ShadeDepth2_SHGCVLT2_U-Value1_ExWall0.png
75,600,0.7/65,4.5,R1.4,120.94,22.19,95.47,265614.76,80566.61,4759200,43889.08,5149270.45,55885,10290718,WWR2_ShadeDepth2_SHGCVLT2_U-Value1_ExWall0.png
25,0,0.22/30,5.8,R1.4,63.19,13.5,21.93,289746.71,83548.7,4961000,10689.37,5344984.78,29200,8031342,WWR0_ShadeDepth0_SHGCVLT0_U-Value2_ExWall0.png
50,0,0.22/30,5.8,R1.4,71.43,15.04,58.86,277680.74,82057.65,4860100,18534.55,5238372.94,33007,8275033,WWR1_ShadeDepth0_SHGCVLT0_U-Value2_ExWall0.png
75,0,0.22/30,5.8,R1.4,77.97,15.93,82.36,265614.76,80566.61,4759200,26379.73,5131761.1,36029,8446452,WWR2_ShadeDepth0_SHGCVLT0_U-Value2_ExWall0.png
25,300,0.22/30,5.8,R1.4,62.12,13.34,19.78,289746.71,83548.7,4961000,10689.37,5344984.78,28705,7985854,WWR0_ShadeDepth1_SHGCVLT0_U-Value2_ExWall0.png
50,300,0.22/30,5.8,R1.4,67.9,14.62,57.36,277680.74,82057.65,4860100,18534.55,5238372.94,31376,8124964,WWR1_ShadeDepth1_SHGCVLT0_U-Value2_ExWall0.png
75,300,0.22/30,5.8,R1.4,75.93,15.77,81.79,265614.76,80566.61,4759200,26379.73,5131761.1,35087,8359727,WWR2_ShadeDepth1_SHGCVLT0_U-Value2_ExWall0.png
25,600,0.22/30,5.8,R1.4,61.16,13.19,18.19,289746.71,83548.7,4961000,10689.37,5344984.78,28261,7945042,WWR0_ShadeDepth2_SHGCVLT0_U-Value2_ExWall0.png
50,600,0.22/30,5.8,R1.4,66.2,14.39,55.81,277680.74,82057.65,4860100,18534.55,5238372.94,30590,8052693,WWR1_ShadeDepth2_SHGCVLT0_U-Value2_ExWall0.png
75,600,0.22/30,5.8,R1.4,74.12,15.59,81.18,265614.76,80566.61,4759200,26379.73,5131761.1,34250,8282779,WWR2_ShadeDepth2_SHGCVLT0_U-Value2_ExWall0.png
25,0,0.45/50,5.8,R1.4,74.47,15.18,43.75,289746.71,83548.7,4961000,10689.37,5344984.78,34412,8510882,WWR0_ShadeDepth0_SHGCVLT1_U-Value2_ExWall0.png
50,0,0.45/50,5.8,R1.4,91.45,17.68,80.58,277680.74,82057.65,4860100,18534.55,5238372.94,42258,9126131,WWR1_ShadeDepth0_SHGCVLT1_U-Value2_ExWall0.png
75,0,0.45/50,5.8,R1.4,105.08,19.52,92.11,265614.76,80566.61,4759200,26379.73,5131761.1,48557,9598963,WWR2_ShadeDepth0_SHGCVLT1_U-Value2_ExWall0.png
25,300,0.45/50,5.8,R1.4,72.48,14.87,41.48,289746.71,83548.7,4961000,10689.37,5344984.78,33492,8426282,WWR0_ShadeDepth1_SHGCVLT1_U-Value2_ExWall0.png
50,300,0.45/50,5.8,R1.4,86.5,17.09,79.77,277680.74,82057.65,4860100,18534.55,5238372.94,39971,8915694,WWR1_ShadeDepth1_SHGCVLT1_U-Value2_ExWall0.png
75,300,0.45/50,5.8,R1.4,101.12,18.96,91.83,265614.76,80566.61,4759200,26379.73,5131761.1,46727,9430613,WWR2_ShadeDepth1_SHGCVLT1_U-Value2_ExWall0.png
25,600,0.45/50,5.8,R1.4,70.85,14.62,39.76,289746.71,83548.7,4961000,10689.37,5344984.78,32739,8356987,WWR0_ShadeDepth2_SHGCVLT1_U-Value2_ExWall0.png
50,600,0.45/50,5.8,R1.4,82.99,16.61,78.95,277680.74,82057.65,4860100,18534.55,5238372.94,38349,8766476,WWR1_ShadeDepth2_SHGCVLT1_U-Value2_ExWall0.png
75,600,0.45/50,5.8,R1.4,97.17,18.49,91.55,265614.76,80566.61,4759200,26379.73,5131761.1,44901,9262690,WWR2_ShadeDepth2_SHGCVLT1_U-Value2_ExWall0.png
25,0,0.7/65,5.8,R1.4,87.37,17.28,60.64,289746.71,83548.7,4961000,10689.37,5344984.78,40373,9059292,WWR0_ShadeDepth0_SHGCVLT2_U-Value2_ExWall0.png
50,0,0.7/65,5.8,R1.4,108.67,20.8,86.55,277680.74,82057.65,4860100,18534.55,5238372.94,50215,9858194,WWR1_ShadeDepth0_SHGCVLT2_U-Value2_ExWall0.png
75,0,0.7/65,5.8,R1.4,129.77,23.71,95.88,265614.76,80566.61,4759200,26379.73,5131761.1,59966,10648593,WWR2_ShadeDepth0_SHGCVLT2_U-Value2_ExWall0.png
25,300,0.7/65,5.8,R1.4,84.27,16.75,58.9,289746.71,83548.7,4961000,10689.37,5344984.78,38940,8927503,WWR0_ShadeDepth1_SHGCVLT2_U-Value2_ExWall0.png
50,300,0.7/65,5.8,R1.4,102.91,20.03,86.02,277680.74,82057.65,4860100,18534.55,5238372.94,47554,9613323,WWR1_ShadeDepth1_SHGCVLT2_U-Value2_ExWall0.png
75,300,0.7/65,5.8,R1.4,124.08,22.91,95.68,265614.76,80566.61,4759200,26379.73,5131761.1,57336,10406698,WWR2_ShadeDepth1_SHGCVLT2_U-Value2_ExWall0.png
25,600,0.7/65,5.8,R1.4,81.96,16.36,57.3,289746.71,83548.7,4961000,10689.37,5344984.78,37873,8829300,WWR0_ShadeDepth2_SHGCVLT2_U-Value2_ExWall0.png
50,600,0.7/65,5.8,R1.4,97.78,19.31,85.44,277680.74,82057.65,4860100,18534.55,5238372.94,45183,9395234,WWR1_ShadeDepth2_SHGCVLT2_U-Value2_ExWall0.png
75,600,0.7/65,5.8,R1.4,118.88,22.2,95.51,265614.76,80566.61,4759200,26379.73,5131761.1,54933,10185633,WWR2_ShadeDepth2_SHGCVLT2_U-Value2_ExWall0.png
25,0,0.22/30,3,R1.0,63.05,13.45,21.95,289746.71,83548.7,4837600,21347.49,5232242.9,29135,7912649,WWR0_ShadeDepth0_SHGCVLT0_U-Value0_ExWall1.png
50,0,0.22/30,3,R1.0,68.7,14.64,58.88,277680.74,82057.65,4773400,37014.9,5170153.29,31746,8090754,WWR1_ShadeDepth0_SHGCVLT0_U-Value0_ExWall1.png
75,0,0.22/30,3,R1.0,76.29,15.65,82.35,265614.76,80566.61,4709100,52682.32,5107963.69,35253,8351234,WWR2_ShadeDepth0_SHGCVLT0_U-Value0_ExWall1.png
25,300,0.22/30,3,R1.0,62.31,13.1,19.81,289746.71,83548.7,4837600,21347.49,5232242.9,28793,7881190,WWR0_ShadeDepth1_SHGCVLT0_U-Value0_ExWall1.png
50,300,0.22/30,3,R1.0,66.99,14.33,57.39,277680.74,82057.65,4773400,37014.9,5170153.29,30955,8018058,WWR1_ShadeDepth1_SHGCVLT0_U-Value0_ExWall1.png
75,300,0.22/30,3,R1.0,74.47,15.48,81.8,265614.76,80566.61,4709100,52682.32,5107963.69,34412,8273861,WWR2_ShadeDepth1_SHGCVLT0_U-Value0_ExWall1.png
25,600,0.22/30,3,R1.0,61.44,12.97,18.21,289746.71,83548.7,4837600,21347.49,5232242.9,28391,7844204,WWR0_ShadeDepth2_SHGCVLT0_U-Value0_ExWall1.png
50,600,0.22/30,3,R1.0,65.45,14.04,55.76,277680.74,82057.65,4773400,37014.9,5170153.29,30244,7952589,WWR1_ShadeDepth2_SHGCVLT0_U-Value0_ExWall1.png
75,600,0.22/30,3,R1.0,72.78,15.24,81.18,265614.76,80566.61,4709100,52682.32,5107963.69,33631,8202015,WWR2_ShadeDepth2_SHGCVLT0_U-Value0_ExWall1.png
25,0,0.45/50,3,R1.0,73.49,15.06,43.62,289746.71,83548.7,4837600,21347.49,5232242.9,33959,8356478,WWR0_ShadeDepth0_SHGCVLT1_U-Value0_ExWall1.png
50,0,0.45/50,3,R1.0,87.18,17.36,80.57,277680.74,82057.65,4773400,37014.9,5170153.29,40285,8876383,WWR1_ShadeDepth0_SHGCVLT1_U-Value0_ExWall1.png
75,0,0.45/50,3,R1.0,101.24,19.07,92.19,265614.76,80566.61,4709100,52682.32,5107963.69,46782,9411918,WWR2_ShadeDepth0_SHGCVLT1_U-Value0_ExWall1.png
25,300,0.45/50,3,R1.0,71.72,14.75,41.44,289746.71,83548.7,4837600,21347.49,5232242.9,33141,8281231,WWR0_ShadeDepth1_SHGCVLT1_U-Value0_ExWall1.png
50,300,0.45/50,3,R1.0,83.92,16.75,79.74,277680.74,82057.65,4773400,37014.9,5170153.29,38779,8737793,WWR1_ShadeDepth1_SHGCVLT1_U-Value0_ExWall1.png
75,300,0.45/50,3,R1.0,97.67,18.62,91.81,265614.76,80566.61,4709100,52682.32,5107963.69,45132,9260148,WWR2_ShadeDepth1_SHGCVLT1_U-Value0_ExWall1.png
25,600,0.45/50,3,R1.0,70.21,14.46,39.78,289746.71,83548.7,4837600,21347.49,5232242.9,32443,8217037,WWR0_ShadeDepth2_SHGCVLT1_U-Value0_ExWall1.png
50,600,0.45/50,3,R1.0,80.75,16.32,78.93,277680.74,82057.65,4773400,37014.9,5170153.29,37314,8603028,WWR1_ShadeDepth2_SHGCVLT1_U-Value0_ExWall1.png
75,600,0.45/50,3,R1.0,94.33,18.2,91.52,265614.76,80566.61,4709100,52682.32,5107963.69,43589,9118157,WWR2_ShadeDepth2_SHGCVLT1_U-Value0_ExWall1.png
25,0,0.7/65,3,R1.0,85.49,16.95,60.68,289746.71,83548.7,4837600,21347.49,5232242.9,39504,8866627,WWR0_ShadeDepth0_SHGCVLT2_U-Value0_ExWall1.png
50,0,0.7/65,3,R1.0,107.84,20.37,86.49,277680.74,82057.65,4773400,37014.9,5170153.29,49832,9754689,WWR1_ShadeDepth0_SHGCVLT2_U-Value0_ExWall1.png
75,0,0.7/65,3,R1.0,130.28,23.55,95.82,265614.76,80566.61,4709100,52682.32,5107963.69,60201,10646477,WWR2_ShadeDepth0_SHGCVLT2_U-Value0_ExWall1.png
25,300,0.7/65,3,R1.0,82.65,16.43,58.86,289746.71,83548.7,4837600,21347.49,5232242.9,38192,8745892,WWR0_ShadeDepth1_SHGCVLT2_U-Value0_ExWall1.png
50,300,0.7/65,3,R1.0,102.49,19.64,85.98,277680.74,82057.65,4773400,37014.9,5170153.29,47360,9527248,WWR1_ShadeDepth1_SHGCVLT2_U-Value0_ExWall1.png
75,300,0.7/65,3,R1.0,124.8,22.67,95.67,265614.76,80566.61,4709100,52682.32,5107963.69,57669,10413509,WWR2_ShadeDepth1_SHGCVLT2_U-Value0_ExWall1.png
25,600,0.7/65,3,R1.0,80.55,16.14,57.3,289746.71,83548.7,4837600,21347.49,5232242.9,37221,8656616,WWR0_ShadeDepth2_SHGCVLT2_U-Value0_ExWall1.png
50,600,0.7/65,3,R1.0,97.65,18.97,85.49,277680.74,82057.65,4773400,37014.9,5170153.29,45123,9321488,WWR1_ShadeDepth2_SHGCVLT2_U-Value0_ExWall1.png
75,600,0.7/65,3,R1.0,119.75,21.86,95.5,265614.76,80566.61,4709100,52682.32,5107963.69,55335,10198822,WWR2_ShadeDepth2_SHGCVLT2_U-Value0_ExWall1.png
25,0,0.22/30,4.5,R1.0,64.19,13.69,21.88,289746.71,83548.7,4837600,17784.36,5228679.77,29662,7957550,WWR0_ShadeDepth0_SHGCVLT0_U-Value1_ExWall1.png
50,0,0.22/30,4.5,R1.0,72.21,15.1,58.87,277680.74,82057.65,4773400,30836.72,5163975.11,33368,8233794,WWR1_ShadeDepth0_SHGCVLT0_U-Value1_ExWall1.png
75,0,0.22/30,4.5,R1.0,78.67,15.88,82.38,265614.76,80566.61,4709100,43889.08,5099170.45,36353,8443620,WWR2_ShadeDepth0_SHGCVLT0_U-Value1_ExWall1.png
25,300,0.22/30,4.5,R1.0,63.1,13.53,19.83,289746.71,83548.7,4837600,17784.36,5228679.77,29158,7911211,WWR0_ShadeDepth1_SHGCVLT0_U-Value1_ExWall1.png
50,300,0.22/30,4.5,R1.0,68.65,14.7,57.39,277680.74,82057.65,4773400,30836.72,5163975.11,31723,8082450,WWR1_ShadeDepth1_SHGCVLT0_U-Value1_ExWall1.png
75,300,0.22/30,4.5,R1.0,76.59,15.7,81.75,265614.76,80566.61,4709100,43889.08,5099170.45,35392,8355194,WWR2_ShadeDepth1_SHGCVLT0_U-Value1_ExWall1.png
25,600,0.22/30,4.5,R1.0,62.47,13.4,18.21,289746.71,83548.7,4837600,17784.36,5228679.77,28867,7884428,WWR0_ShadeDepth2_SHGCVLT0_U-Value1_ExWall1.png
50,600,0.22/30,4.5,R1.0,66.93,14.46,55.81,277680.74,82057.65,4773400,30836.72,5163975.11,30928,8009329,WWR1_ShadeDepth2_SHGCVLT0_U-Value1_ExWall1.png
75,600,0.22/30,4.5,R1.0,74.68,15.59,81.19,265614.76,80566.61,4709100,43889.08,5099170.45,34509,8273995,WWR2_ShadeDepth2_SHGCVLT0_U-Value1_ExWall1.png
25,0,0.45/50,4.5,R1.0,77.13,15.56,43.69,289746.71,83548.7,4837600,17784.36,5228679.77,35641,8507660,WWR0_ShadeDepth0_SHGCVLT1_U-Value1_ExWall1.png
50,0,0.45/50,4.5,R1.0,91.47,17.68,80.55,277680.74,82057.65,4773400,30836.72,5163975.11,42267,9052583,WWR1_ShadeDepth0_SHGCVLT1_U-Value1_ExWall1.png
75,0,0.45/50,4.5,R1.0,106.25,19.51,92.1,265614.76,80566.61,4709100,43889.08,5099170.45,49097,9616111,WWR2_ShadeDepth0_SHGCVLT1_U-Value1_ExWall1.png
25,300,0.45/50,4.5,R1.0,73.42,15.08,41.53,289746.71,83548.7,4837600,17784.36,5228679.77,33927,8349939,WWR0_ShadeDepth1_SHGCVLT1_U-Value1_ExWall1.png
