WWR-NS,WWR-EW,ShadeDepth,SHGC,VLT,ExWall,EUI (kWh/m2),ELECp (W/m2),CLGp (W/m2),Daylight Autonomy,Excessive Daylight,OT26% - Patient North,OT26% - Patient South,img,EUI Saved(-)Wasted(+),REF_ELECp,REF_CLGp,REF_DA,REF_ExcDA
20,60,300,0.22,0.3,1.4,116.39,20.08,42.78,20.57,0.82,0,0,WWR-NS0_WWR-EW2_ShadeDepth1_SHGCVLT0_ExWall0.png,-7.66,-9.91,-12.75,69.12,-78.19
40,60,300,0.22,0.3,1.4,120.41,21.39,46.34,39.29,1.34,0.54,0.9,WWR-NS1_WWR-EW2_ShadeDepth1_SHGCVLT0_ExWall0.png,-4.47,-4.04,-5.49,41.01,-64.36
60,60,300,0.22,0.3,1.4,125.05,22.69,49.94,64.88,2.52,7.45,4.42,WWR-NS2_WWR-EW2_ShadeDepth1_SHGCVLT0_ExWall0.png,-0.79,1.79,1.86,2.60,-32.98
80,60,300,0.22,0.3,1.4,129.83,24.03,53.45,75.24,3.86,18.16,8.25,WWR-NS3_WWR-EW2_ShadeDepth1_SHGCVLT0_ExWall0.png,3.00,7.81,9.01,-12.96,2.66
20,80,300,0.22,0.3,1.4,117.15,20.3,43.5,24.59,1.01,0,0,WWR-NS0_WWR-EW3_ShadeDepth1_SHGCVLT0_ExWall0.png,-7.06,-8.93,-11.28,63.08,-73.14
40,80,300,0.22,0.3,1.4,121.22,21.61,47.03,43.02,1.55,0.54,0.95,WWR-NS1_WWR-EW3_ShadeDepth1_SHGCVLT0_ExWall0.png,-3.83,-3.05,-4.08,35.42,-58.78
60,80,300,0.22,0.3,1.4,125.84,22.92,50.58,67.69,2.73,7.48,4.49,WWR-NS2_WWR-EW3_ShadeDepth1_SHGCVLT0_ExWall0.png,-0.17,2.83,3.16,-1.62,-27.39
80,80,300,0.22,0.3,1.4,130.6,24.25,54.06,77.56,4.08,18.14,8.5,WWR-NS3_WWR-EW3_ShadeDepth1_SHGCVLT0_ExWall0.png,3.61,8.79,10.26,-16.44,8.51
20,20,600,0.22,0.3,1.4,114.7,19.48,40.97,11.62,0.39,0,0,WWR-NS0_WWR-EW0_ShadeDepth2_SHGCVLT0_ExWall0.png,-9.00,-12.61,-16.44,82.56,-89.63
40,20,600,0.22,0.3,1.4,117.63,20.58,44.09,30.12,0.69,0.11,0.33,WWR-NS1_WWR-EW0_ShadeDepth2_SHGCVLT0_ExWall0.png,-6.68,-7.67,-10.08,54.78,-81.65
60,20,600,0.22,0.3,1.4,122.01,21.85,47.59,57.97,1.64,4.74,3.17,WWR-NS2_WWR-EW0_ShadeDepth2_SHGCVLT0_ExWall0.png,-3.21,-1.97,-2.94,12.97,-56.38
80,20,600,0.22,0.3,1.4,125.87,23.14,51.11,69.97,2.94,15.1,7.01,WWR-NS3_WWR-EW0_ShadeDepth2_SHGCVLT0_ExWall0.png,-0.14,3.81,4.24,-5.04,-21.81
20,40,600,0.22,0.3,1.4,114.84,19.65,41.59,14.9,0.44,0,0,WWR-NS0_WWR-EW1_ShadeDepth2_SHGCVLT0_ExWall0.png,-8.89,-11.84,-15.17,77.63,-88.30
40,40,600,0.22,0.3,1.4,118.21,20.77,44.7,33.53,0.74,0.11,0.37,WWR-NS1_WWR-EW1_ShadeDepth2_SHGCVLT0_ExWall0.png,-6.22,-6.82,-8.83,49.66,-80.32
60,40,600,0.22,0.3,1.4,122.59,22.03,48.17,60.52,1.69,4.7,3.22,WWR-NS2_WWR-EW1_ShadeDepth2_SHGCVLT0_ExWall0.png,-2.74,-1.17,-1.75,9.14,-55.05
80,40,600,0.22,0.3,1.4,126.35,23.26,51.64,71.95,3,15.13,7.1,WWR-NS3_WWR-EW1_ShadeDepth2_SHGCVLT0_ExWall0.png,0.24,4.35,5.32,-8.02,-20.21
20,60,600,0.22,0.3,1.4,115.53,19.87,42.26,19.45,0.59,0,0,WWR-NS0_WWR-EW2_ShadeDepth2_SHGCVLT0_ExWall0.png,-8.35,-10.86,-13.81,70.80,-84.31
40,60,600,0.22,0.3,1.4,118.95,21.01,45.38,37.73,0.9,0.11,0.37,WWR-NS1_WWR-EW2_ShadeDepth2_SHGCVLT0_ExWall0.png,-5.63,-5.74,-7.44,43.36,-76.06
60,60,600,0.22,0.3,1.4,123.33,22.26,48.81,63.72,1.85,4.68,3.3,WWR-NS2_WWR-EW2_ShadeDepth2_SHGCVLT0_ExWall0.png,-2.16,-0.13,-0.45,4.34,-50.80
80,60,600,0.22,0.3,1.4,128.02,23.58,52.31,74.53,3.17,15.29,7.2,WWR-NS3_WWR-EW2_ShadeDepth2_SHGCVLT0_ExWall0.png,1.56,5.79,6.69,-11.89,-15.69
20,80,600,0.22,0.3,1.4,116.27,20.09,42.92,23.47,0.78,0,0,WWR-NS0_WWR-EW3_ShadeDepth2_SHGCVLT0_ExWall0.png,-7.76,-9.87,-12.46,64.77,-79.26
40,80,600,0.22,0.3,1.4,119.73,21.22,46.03,41.4,1.08,0.11,0.41,WWR-NS1_WWR-EW3_ShadeDepth2_SHGCVLT0_ExWall0.png,-5.01,-4.80,-6.12,37.85,-71.28
60,80,600,0.22,0.3,1.4,124.1,22.49,49.42,66.59,2.04,4.67,3.4,WWR-NS2_WWR-EW3_ShadeDepth2_SHGCVLT0_ExWall0.png,-1.55,0.90,0.80,0.03,-45.74
80,80,600,0.22,0.3,1.4,128.77,23.8,52.89,76.9,3.36,15.34,7.36,WWR-NS3_WWR-EW3_ShadeDepth2_SHGCVLT0_ExWall0.png,2.16,6.77,7.87,-15.45,-10.64
20,20,900,0.22,0.3,1.4,114.26,19.39,40.94,10.91,0.28,0,0,WWR-NS0_WWR-EW0_ShadeDepth3_SHGCVLT0_ExWall0.png,-9.35,-13.01,-16.50,83.62,-92.55
40,20,900,0.22,0.3,1.4,116.59,20.28,43.24,28.62,0.42,0.01,0.16,WWR-NS1_WWR-EW0_ShadeDepth3_SHGCVLT0_ExWall0.png,-7.50,-9.02,-11.81,57.03,-88.83
