WWR-NS,WWR-EW,ShadeDepth,SHGC,VLT,ExWall,EUI (kWh/m2),ELECp (W/m2),CLGp (W/m2),Daylight Autonomy,Excessive Daylight,OT26% - Patient North,OT26% - Patient South,img,EUI Saved(-)Wasted(+),REF_ELECp,REF_CLGp,REF_DA,REF_ExcDA
80,20,900,0.34,0.42,1.4,136.12,25.28,57.45,77.34,3.99,26.93,12.71,WWR-NS3_WWR-EW0_ShadeDepth3_SHGCVLT1_ExWall0.png,7.99,13.41,17.17,-16.11,6.12
20,40,900,0.34,0.42,1.4,118.83,20.52,43.97,22.95,0.61,0,0,WWR-NS0_WWR-EW1_ShadeDepth3_SHGCVLT1_ExWall0.png,-5.73,-7.94,-10.32,65.55,-83.78
40,40,900,0.34,0.42,1.4,123.35,21.72,47.28,50.29,0.91,1.6,1.47,WWR-NS1_WWR-EW1_ShadeDepth3_SHGCVLT1_ExWall0.png,-2.14,-2.56,-3.57,24.50,-75.80
60,40,900,0.34,0.42,1.4,129,23.38,52.19,71.35,2.14,12.33,6.3,WWR-NS2_WWR-EW1_ShadeDepth3_SHGCVLT1_ExWall0.png,2.34,4.89,6.45,-7.12,-43.09
80,40,900,0.34,0.42,1.4,136.75,25.4,57.88,79.44,4.05,26.94,12.9,WWR-NS3_WWR-EW1_ShadeDepth3_SHGCVLT1_ExWall0.png,8.49,13.95,18.05,-19.26,7.71
20,60,900,0.34,0.42,1.4,119.9,20.8,44.85,28.45,0.83,0,0,WWR-NS0_WWR-EW2_ShadeDepth3_SHGCVLT1_ExWall0.png,-4.88,-6.68,-8.53,57.29,-77.93
40,60,900,0.34,0.42,1.4,124.47,22.03,48.14,54.81,1.12,1.6,1.55,WWR-NS1_WWR-EW2_ShadeDepth3_SHGCVLT1_ExWall0.png,-1.25,-1.17,-1.82,17.72,-70.21
60,60,900,0.34,0.42,1.4,130.01,23.63,52.8,74.77,2.37,12.34,6.48,WWR-NS2_WWR-EW2_ShadeDepth3_SHGCVLT1_ExWall0.png,3.14,6.01,7.69,-12.25,-36.97
80,60,900,0.34,0.42,1.4,137.68,25.59,58.47,82.41,4.29,26.95,13.05,WWR-NS3_WWR-EW2_ShadeDepth3_SHGCVLT1_ExWall0.png,9.23,14.80,19.25,-23.72,14.10
20,80,900,0.34,0.42,1.4,121.33,21.11,45.74,32.76,1.12,0,0,WWR-NS0_WWR-EW3_ShadeDepth3_SHGCVLT1_ExWall0.png,-3.74,-5.29,-6.71,50.82,-70.21
40,80,900,0.34,0.42,1.4,125.73,22.34,48.98,58.24,1.43,1.55,1.63,WWR-NS1_WWR-EW3_ShadeDepth3_SHGCVLT1_ExWall0.png,-0.25,0.22,-0.10,12.57,-61.97
60,80,900,0.34,0.42,1.4,131.26,23.97,53.51,77.23,2.68,12.39,6.83,WWR-NS2_WWR-EW3_ShadeDepth3_SHGCVLT1_ExWall0.png,4.13,7.54,9.14,-15.94,-28.72
80,80,900,0.34,0.42,1.4,138.72,25.81,59.05,84.67,4.6,26.95,13.21,WWR-NS3_WWR-EW3_ShadeDepth3_SHGCVLT1_ExWall0.png,10.05,15.79,20.44,-27.11,22.34
20,20,0,0.46,0.54,1.4,125.08,21.87,47.51,32.35,1.76,1,0.75,WWR-NS0_WWR-EW0_ShadeDepth0_SHGCVLT2_ExWall0.png,-0.77,-1.88,-3.10,51.43,-53.19
40,20,0,0.46,0.54,1.4,134.75,24.34,54.52,63.01,3.46,20.16,8,WWR-NS1_WWR-EW0_ShadeDepth0_SHGCVLT2_ExWall0.png,6.90,9.20,11.20,5.40,-7.98
60,20,0,0.46,0.54,1.4,145.53,27.04,61.89,77.37,5.94,34.18,16.71,WWR-NS2_WWR-EW0_ShadeDepth0_SHGCVLT2_ExWall0.png,15.45,21.31,26.23,-16.15,57.98
80,20,0,0.46,0.54,1.4,156.33,29.55,69.01,83.67,8.45,41.21,24.32,WWR-NS3_WWR-EW0_ShadeDepth0_SHGCVLT2_ExWall0.png,24.02,32.57,40.75,-25.61,124.73
20,40,0,0.46,0.54,1.4,126.92,22.2,48.85,37.42,2.05,1,0.88,WWR-NS0_WWR-EW1_ShadeDepth0_SHGCVLT2_ExWall0.png,0.69,-0.40,-0.37,43.82,-45.48
40,40,0,0.46,0.54,1.4,137.5,24.9,55.84,66.62,3.76,20.4,8.22,WWR-NS1_WWR-EW1_ShadeDepth0_SHGCVLT2_ExWall0.png,9.08,11.71,13.89,-0.02,0.00
60,40,0,0.46,0.54,1.4,147.06,27.33,63.05,80.17,6.26,34.19,17.01,WWR-NS2_WWR-EW1_ShadeDepth0_SHGCVLT2_ExWall0.png,16.67,22.61,28.59,-20.36,66.49
80,40,0,0.46,0.54,1.4,157.8,29.93,69.91,86.31,8.79,41.23,24.53,WWR-NS3_WWR-EW1_ShadeDepth0_SHGCVLT2_ExWall0.png,25.19,34.28,42.59,-29.58,133.78
20,60,0,0.46,0.54,1.4,128.72,22.65,50.16,42.83,2.44,1,1.02,WWR-NS0_WWR-EW2_ShadeDepth0_SHGCVLT2_ExWall0.png,2.12,1.62,2.30,35.70,-35.11
40,60,0,0.46,0.54,1.4,139.25,25.34,57.09,70.61,4.17,20.42,8.55,WWR-NS1_WWR-EW2_ShadeDepth0_SHGCVLT2_ExWall0.png,10.47,13.68,16.44,-6.01,10.90
60,60,0,0.46,0.54,1.4,148.92,27.75,64.19,83.23,6.7,34.19,17.34,WWR-NS2_WWR-EW2_ShadeDepth0_SHGCVLT2_ExWall0.png,18.14,24.50,30.92,-24.95,78.19
80,60,0,0.46,0.54,1.4,159.24,30.25,70.93,89.2,9.25,41.26,24.81,WWR-NS3_WWR-EW2_ShadeDepth0_SHGCVLT2_ExWall0.png,26.33,35.71,44.67,-33.91,146.01
20,80,0,0.46,0.54,1.4,130.51,23.06,51.42,47,2.82,1,1.18,WWR-NS0_WWR-EW3_ShadeDepth0_SHGCVLT2_ExWall0.png,3.54,3.45,4.87,29.44,-25.00
40,80,0,0.46,0.54,1.4,141,25.77,58.31,73.4,4.57,20.42,9.1,WWR-NS1_WWR-EW3_ShadeDepth0_SHGCVLT2_ExWall0.png,11.86,15.61,18.93,-10.19,21.54
60,80,0,0.46,0.54,1.4,150.37,28.16,65.29,85.57,7.12,34.24,17.73,WWR-NS2_WWR-EW3_ShadeDepth0_SHGCVLT2_ExWall0.png,19.29,26.33,33.16,-28.46,89.36
80,80,0,0.46,0.54,1.4,160.71,30.6,71.96,91.03,9.7,41.29,25.15,WWR-NS3_WWR-EW3_ShadeDepth0_SHGCVLT2_ExWall0.png,27.50,37.28,46.77,-36.66,157.98
20,20,300,0.46,0.54,1.4,123.52,21.49,46.54,30.38,1.27,0.21,0.26,WWR-NS0_WWR-EW0_ShadeDepth1_SHGCVLT2_ExWall0.png,-2.01,-3.59,-5.08,54.39,-66.22
40,20,300,0.46,0.54,1.4,131.65,23.6,52.58,61.61,2.4,14.17,5.76,WWR-NS1_WWR-EW0_ShadeDepth1_SHGCVLT2_ExWall0.png,4.44,5.88,7.24,7.51,-36.17
60,20,300,0.46,0.54,1.4,142.02,26.22,59.79,76.67,4.76,31.23,14.35,WWR-NS2_WWR-EW0_ShadeDepth1_SHGCVLT2_ExWall0.png,12.67,17.63,21.95,-15.10,26.60
80,20,300,0.46,0.54,1.4,152.75,28.83,67.08,83.2,7.28,39.32,22.69,WWR-NS3_WWR-EW0_ShadeDepth1_SHGCVLT2_ExWall0.png,21.18,29.34,36.81,-24.91,93.62
20,40,300,0.46,0.54,1.4,125.06,21.92,47.74,35.51,1.47,0.21,0.3,WWR-NS0_WWR-EW1_ShadeDepth1_SHGCVLT2_ExWall0.png,-0.79,-1.66,-2.63,46.69,-60.90
40,40,300,0.46,0.54,1.4,133.13,23.98,53.69,65.21,2.61,14.24,5.92,WWR-NS1_WWR-EW1_ShadeDepth1_SHGCVLT2_ExWall0.png,5.62,7.58,9.50,2.10,-30.59
60,40,300,0.46,0.54,1.4,143.32,26.47,60.65,79.43,4.98,31.26,14.57,WWR-NS2_WWR-EW1_ShadeDepth1_SHGCVLT2_ExWall0.png,13.70,18.75,23.70,-19.25,32.45
80,40,300,0.46,0.54,1.4,154,29.11,67.85,85.82,7.5,39.32,22.88,WWR-NS3_WWR-EW1_ShadeDepth1_SHGCVLT2_ExWall0.png,22.17,30.60,38.38,-28.84,99.47
20,60,300,0.46,0.54,1.4,126.78,22.35,48.98,41.09,1.84,0.21,0.3,WWR-NS0_WWR-EW2_ShadeDepth1_SHGCVLT2_ExWall0.png,0.58,0.27,-0.10,38.31,-51.06
40,60,300,0.46,0.54,1.4,135.79,24.54,54.98,69.27,3,14.84,6.22,WWR-NS1_WWR-EW2_ShadeDepth1_SHGCVLT2_ExWall0.png,7.73,10.09,12.14,-3.99,-20.21
60,60,300,0.46,0.54,1.4,144.82,26.81,61.63,82.59,5.38,31.28,14.87,WWR-NS2_WWR-EW2_ShadeDepth1_SHGCVLT2_ExWall0.png,14.89,20.28,25.70,-23.99,43.09
80,60,300,0.46,0.54,1.4,155.39,29.47,68.72,88.81,7.94,39.32,23.06,WWR-NS3_WWR-EW2_ShadeDepth1_SHGCVLT2_ExWall0.png,23.28,32.21,40.16,-33.33,111.17
20,80,300,0.46,0.54,1.4,128.78,22.79,50.24,45.27,2.23,0.24,0.41,WWR-NS0_WWR-EW3_ShadeDepth1_SHGCVLT2_ExWall0.png,2.17,2.24,2.47,32.04,-40.69
40,80,300,0.46,0.54,1.4,137.5,24.97,56.17,72.12,3.41,14.83,6.68,WWR-NS1_WWR-EW3_ShadeDepth1_SHGCVLT2_ExWall0.png,9.08,12.02,14.56,-8.27,-9.31
60,80,300,0.46,0.54,1.4,146.49,27.25,62.7,84.99,5.82,31.3,15.31,WWR-NS2_WWR-EW3_ShadeDepth1_SHGCVLT2_ExWall0.png,16.22,22.25,27.88,-27.59,54.79
80,80,300,0.46,0.54,1.4,156.81,29.81,69.64,90.71,8.4,39.33,23.39,WWR-NS3_WWR-EW3_ShadeDepth1_SHGCVLT2_ExWall0.png,24.40,33.74,42.04,-36.18,123.40
20,20,600,0.46,0.54,1.4,122.34,21.22,45.87,28.92,0.98,0.02,0.15,WWR-NS0_WWR-EW0_ShadeDepth2_SHGCVLT2_ExWall0.png,-2.94,-4.80,-6.45,56.58,-73.94
40,20,600,0.46,0.54,1.4,129.06,22.98,51.07,60.23,1.7,9.09,4.17,WWR-NS1_WWR-EW0_ShadeDepth2_SHGCVLT2_ExWall0.png,2.39,3.10,4.16,9.58,-54.79
60,20,600,0.46,0.54,1.4,138.88,25.46,58.14,75.98,3.66,27.99,12.49,WWR-NS2_WWR-EW0_ShadeDepth2_SHGCVLT2_ExWall0.png,10.18,14.22,18.58,-14.07,-2.66
80,20,600,0.46,0.54,1.4,149.48,28.13,65.32,82.72,6.19,37.37,20.74,WWR-NS3_WWR-EW0_ShadeDepth2_SHGCVLT2_ExWall0.png,18.59,26.20,33.22,-24.19,64.63
20,40,600,0.46,0.54,1.4,123.93,21.57,46.89,33.94,1.11,0.02,0.18,WWR-NS0_WWR-EW1_ShadeDepth2_SHGCVLT2_ExWall0.png,-1.68,-3.23,-4.36,49.05,-70.48
40,40,600,0.46,0.54,1.4,130.29,23.3,51.93,63.92,1.83,9.12,4.34,WWR-NS1_WWR-EW1_ShadeDepth2_SHGCVLT2_ExWall0.png,3.36,4.53,5.91,4.04,-51.33
60,40,600,0.46,0.54,1.4,139.96,25.68,58.88,78.77,3.8,28,12.72,WWR-NS2_WWR-EW1_ShadeDepth2_SHGCVLT2_ExWall0.png,11.04,15.21,20.09,-18.26,1.06
80,40,600,0.46,0.54,1.4,150.51,28.39,65.97,85.42,6.33,37.37,20.95,WWR-NS3_WWR-EW1_ShadeDepth2_SHGCVLT2_ExWall0.png,19.40,27.37,34.55,-28.24,68.35
20,60,600,0.46,0.54,1.4,125.53,22.01,48.11,39.67,1.44,0.02,0.19,WWR-NS0_WWR-EW2_ShadeDepth2_SHGCVLT2_ExWall0.png,-0.41,-1.26,-1.88,40.44,-61.70
40,60,600,0.46,0.54,1.4,132.86,23.84,53.15,68.04,2.17,9.61,4.5,WWR-NS1_WWR-EW2_ShadeDepth2_SHGCVLT2_ExWall0.png,5.40,6.95,8.40,-2.15,-42.29
60,60,600,0.46,0.54,1.4,141.3,25.96,59.76,81.98,4.16,28,13.04,WWR-NS2_WWR-EW2_ShadeDepth2_SHGCVLT2_ExWall0.png,12.10,16.46,21.88,-23.07,10.64
80,60,600,0.46,0.54,1.4,151.78,28.7,66.79,88.45,6.71,37.39,21.2,WWR-NS3_WWR-EW2_ShadeDepth2_SHGCVLT2_ExWall0.png,20.41,28.76,36.22,-32.79,78.46
20,80,600,0.46,0.54,1.4,127.22,22.43,49.3,44.01,1.82,0.02,0.21,WWR-NS0_WWR-EW3_ShadeDepth2_SHGCVLT2_ExWall0.png,0.93,0.63,0.55,33.93,-51.60
40,80,600,0.46,0.54,1.4,134.62,24.26,54.26,71,2.56,9.47,4.75,WWR-NS1_WWR-EW3_ShadeDepth2_SHGCVLT2_ExWall0.png,6.80,8.84,10.67,-6.59,-31.91
60,80,600,0.46,0.54,1.4,143,26.4,60.71,84.41,4.57,28.03,13.39,WWR-NS2_WWR-EW3_ShadeDepth2_SHGCVLT2_ExWall0.png,13.45,18.44,23.82,-26.72,21.54
80,80,600,0.46,0.54,1.4,153.24,29.01,67.65,90.32,7.15,37.42,21.53,WWR-NS3_WWR-EW3_ShadeDepth2_SHGCVLT2_ExWall0.png,21.57,30.15,37.98,-35.60,90.16
20,20,900,0.46,0.54,1.4,121.79,21.05,45.44,27.87,0.79,0,0.11,WWR-NS0_WWR-EW0_ShadeDepth3_SHGCVLT2_ExWall0.png,-3.38,-5.56,-7.32,58.16,-78.99
40,20,900,0.46,0.54,1.4,126.94,22.45,49.91,59.01,1.19,5.45,2.95,WWR-NS1_WWR-EW0_ShadeDepth3_SHGCVLT2_ExWall0.png,0.71,0.72,1.79,11.41,-68.35
60,20,900,0.46,0.54,1.4,136.1,24.82,56.71,75.33,2.83,24.47,10.92,WWR-NS2_WWR-EW0_ShadeDepth3_SHGCVLT2_ExWall0.png,7.97,11.35,15.66,-13.09,-24.73
80,20,900,0.46,0.54,1.4,146.51,27.49,63.71,82.38,5.22,35.58,18.98,WWR-NS3_WWR-EW0_ShadeDepth3_SHGCVLT2_ExWall0.png,16.23,23.33,29.94,-23.68,38.83
20,40,900,0.46,0.54,1.4,122.86,21.36,46.36,32.88,0.87,0,0.11,WWR-NS0_WWR-EW1_ShadeDepth3_SHGCVLT2_ExWall0.png,-2.53,-4.17,-5.45,50.64,-76.86
40,40,900,0.46,0.54,1.4,127.93,22.7,50.54,62.7,1.28,5.48,2.98,WWR-NS1_WWR-EW1_ShadeDepth3_SHGCVLT2_ExWall0.png,1.49,1.84,3.08,5.87,-65.96
60,40,900,0.46,0.54,1.4,136.97,24.98,57.24,78.06,2.91,24.5,11.16,WWR-NS2_WWR-EW1_ShadeDepth3_SHGCVLT2_ExWall0.png,8.66,12.07,16.74,-17.19,-22.61
80,40,900,0.46,0.54,1.4,147.33,27.7,64.23,85.01,5.31,35.61,19.14,WWR-NS3_WWR-EW1_ShadeDepth3_SHGCVLT2_ExWall0.png,16.88,24.27,31.00,-27.62,41.22
20,60,900,0.46,0.54,1.4,124.33,21.74,47.46,38.55,1.15,0,0.13,WWR-NS0_WWR-EW2_ShadeDepth3_SHGCVLT2_ExWall0.png,-1.36,-2.47,-3.20,42.13,-69.41
40,60,900,0.46,0.54,1.4,130.43,23.21,51.55,66.93,1.57,5.91,3.08,WWR-NS1_WWR-EW2_ShadeDepth3_SHGCVLT2_ExWall0.png,3.47,4.13,5.14,-0.48,-58.24
60,60,900,0.46,0.54,1.4,138.23,25.24,57.96,81.35,3.21,24.54,11.34,WWR-NS2_WWR-EW2_ShadeDepth3_SHGCVLT2_ExWall0.png,9.66,13.23,18.21,-22.13,-14.63
80,60,900,0.46,0.54,1.4,148.56,27.96,65,88.02,5.63,35.62,19.35,WWR-NS3_WWR-EW2_ShadeDepth3_SHGCVLT2_ExWall0.png,17.86,25.44,32.57,-32.14,49.73
20,80,900,0.46,0.54,1.4,126,22.13,48.61,42.92,1.53,0,0.13,WWR-NS0_WWR-EW3_ShadeDepth3_SHGCVLT2_ExWall0.png,-0.04,-0.72,-0.86,35.57,-59.31
40,80,900,0.46,0.54,1.4,132.15,23.61,52.48,69.95,1.96,5.86,3.2,WWR-NS1_WWR-EW3_ShadeDepth3_SHGCVLT2_ExWall0.png,4.84,5.92,7.04,-5.01,-47.87
60,80,900,0.46,0.54,1.4,139.85,25.63,58.83,83.75,3.61,24.55,11.72,WWR-NS2_WWR-EW3_ShadeDepth3_SHGCVLT2_ExWall0.png,10.95,14.98,19.99,-25.73,-3.99
80,80,900,0.46,0.54,1.4,149.99,28.23,65.78,89.96,6.05,35.62,19.63,WWR-NS3_WWR-EW3_ShadeDepth3_SHGCVLT2_ExWall0.png,18.99,26.65,34.16,-35.05,60.90
20,20,0,0.58,0.66,1.4,129.25,22.45,49.76,43.08,2.07,4.05,2.12,WWR-NS0_WWR-EW0_ShadeDepth0_SHGCVLT3_ExWall0.png,2.54,0.72,1.49,35.33,-44.95
40,20,0,0.58,0.66,1.4,141.28,25.57,58.04,69.82,4.12,28.72,11.87,WWR-NS1_WWR-EW0_ShadeDepth0_SHGCVLT3_ExWall0.png,12.08,14.72,18.38,-4.82,9.57
60,20,0,0.58,0.66,1.4,154.4,28.92,66.65,81.27,7.18,40.81,23.14,WWR-NS2_WWR-EW0_ShadeDepth0_SHGCVLT3_ExWall0.png,22.49,29.74,35.94,-22.01,90.96
80,20,0,0.58,0.66,1.4,167.78,31.61,75.5,87.53,10.2,47.11,31.53,WWR-NS3_WWR-EW0_ShadeDepth0_SHGCVLT3_ExWall0.png,33.11,41.81,53.99,-31.41,171.28
20,40,0,0.58,0.66,1.4,131.48,23.04,51.35,48.35,2.42,4.08,2.32,WWR-NS0_WWR-EW1_ShadeDepth0_SHGCVLT3_ExWall0.png,4.31,3.36,4.73,27.41,-35.64
40,40,0,0.58,0.66,1.4,143.36,26.05,59.38,73.63,4.51,28.78,12.23,WWR-NS1_WWR-EW1_ShadeDepth0_SHGCVLT3_ExWall0.png,13.73,16.87,21.11,-10.54,19.95
60,40,0,0.58,0.66,1.4,156.25,29.33,67.94,84.5,7.59,40.84,23.37,WWR-NS2_WWR-EW1_ShadeDepth0_SHGCVLT3_ExWall0.png,23.96,31.58,38.57,-26.86,101.86
80,40,0,0.58,0.66,1.4,169.27,32.09,76.55,90.28,10.63,47.12,31.66,WWR-NS3_WWR-EW1_ShadeDepth0_SHGCVLT3_ExWall0.png,34.29,43.97,56.13,-35.54,182.71
20,60,0,0.58,0.66,1.4,133.74,23.61,52.89,53.44,2.9,4.13,2.55,WWR-NS0_WWR-EW2_ShadeDepth0_SHGCVLT3_ExWall0.png,6.10,5.92,7.87,19.77,-22.87
40,60,0,0.58,0.66,1.4,145.47,26.58,60.83,77.19,5.02,28.8,12.66,WWR-NS1_WWR-EW2_ShadeDepth0_SHGCVLT3_ExWall0.png,15.41,19.25,24.07,-15.88,33.51
60,60,0,0.58,0.66,1.4,158.18,29.76,69.31,87.52,8.15,40.84,23.78,WWR-NS2_WWR-EW2_ShadeDepth0_SHGCVLT3_ExWall0.png,25.49,33.51,41.36,-31.39,116.76
80,60,0,0.58,0.66,1.4,170.96,32.5,77.61,92.44,11.24,47.17,31.82,WWR-NS3_WWR-EW2_ShadeDepth0_SHGCVLT3_ExWall0.png,35.63,45.81,58.29,-38.78,198.94
20,80,0,0.58,0.66,1.4,135.94,24.08,54.4,57.41,3.36,4.22,2.76,WWR-NS0_WWR-EW3_ShadeDepth0_SHGCVLT3_ExWall0.png,7.85,8.03,10.95,13.81,-10.64
40,80,0,0.58,0.66,1.4,148.57,27.19,62.32,79.89,5.51,28.9,13.31,WWR-NS1_WWR-EW3_ShadeDepth0_SHGCVLT3_ExWall0.png,17.87,21.98,27.11,-19.94,46.54
60,80,0,0.58,0.66,1.4,160.19,30.21,70.64,89.69,8.69,40.88,24.21,WWR-NS2_WWR-EW3_ShadeDepth0_SHGCVLT3_ExWall0.png,27.08,35.53,44.08,-34.65,131.12
80,80,0,0.58,0.66,1.4,172.71,32.88,78.71,93.72,11.84,47.18,32.07,WWR-NS3_WWR-EW3_ShadeDepth0_SHGCVLT3_ExWall0.png,37.02,47.51,60.53,-40.70,214.89
20,20,300,0.58,0.66,1.4,127.33,22.22,48.6,41.02,1.53,1.55,1,WWR-NS0_WWR-EW0_ShadeDepth1_SHGCVLT3_ExWall0.png,1.02,-0.31,-0.88,38.42,-59.31
40,20,300,0.58,0.66,1.4,137.53,24.71,55.86,68.62,2.93,23.14,9.22,WWR-NS1_WWR-EW0_ShadeDepth1_SHGCVLT3_ExWall0.png,9.11,10.86,13.93,-3.02,-22.07
60,20,300,0.58,0.66,1.4,150.14,28.01,64.36,80.72,5.8,37.98,20.14,WWR-NS2_WWR-EW0_ShadeDepth1_SHGCVLT3_ExWall0.png,19.11,25.66,31.27,-21.18,54.26
80,20,300,0.58,0.66,1.4,163.49,30.76,73.1,87.16,8.82,45.23,29.38,WWR-NS3_WWR-EW0_ShadeDepth1_SHGCVLT3_ExWall0.png,29.70,38.00,49.09,-30.85,134.57
20,40,300,0.58,0.66,1.4,129.27,22.55,50.01,46.37,1.77,1.56,1.19,WWR-NS0_WWR-EW1_ShadeDepth1_SHGCVLT3_ExWall0.png,2.55,1.17,2.00,30.39,-52.93
40,40,300,0.58,0.66,1.4,139.23,25.08,56.88,72.44,3.2,23.18,9.59,WWR-NS1_WWR-EW1_ShadeDepth1_SHGCVLT3_ExWall0.png,10.46,12.52,16.01,-8.75,-14.89
60,40,300,0.58,0.66,1.4,151.7,28.3,65.38,83.91,6.09,37.99,20.39,WWR-NS2_WWR-EW1_ShadeDepth1_SHGCVLT3_ExWall0.png,20.35,26.96,33.35,-25.97,61.97
80,40,300,0.58,0.66,1.4,164.7,31.14,73.99,89.91,9.13,45.25,29.52,WWR-NS3_WWR-EW1_ShadeDepth1_SHGCVLT3_ExWall0.png,30.66,39.70,50.91,-34.98,142.82
20,60,300,0.58,0.66,1.4,131.4,23.04,51.48,51.46,2.22,1.56,1.3,WWR-NS0_WWR-EW2_ShadeDepth1_SHGCVLT3_ExWall0.png,4.24,3.36,5.00,22.74,-40.96
40,60,300,0.58,0.66,1.4,141.3,25.61,58.31,76.1,3.68,23.25,10.03,WWR-NS1_WWR-EW2_ShadeDepth1_SHGCVLT3_ExWall0.png,12.10,14.89,18.93,-14.25,-2.13
60,60,300,0.58,0.66,1.4,153.45,28.64,66.57,86.98,6.61,38,20.83,WWR-NS2_WWR-EW2_ShadeDepth1_SHGCVLT3_ExWall0.png,21.74,28.49,35.77,-30.58,75.80
80,60,300,0.58,0.66,1.4,166.33,31.53,75.02,92.12,9.71,45.27,29.76,WWR-NS3_WWR-EW2_ShadeDepth1_SHGCVLT3_ExWall0.png,31.96,41.45,53.01,-38.30,158.24
20,80,300,0.58,0.66,1.4,133.59,23.56,53,55.68,2.7,1.56,1.53,WWR-NS0_WWR-EW3_ShadeDepth1_SHGCVLT3_ExWall0.png,5.98,5.70,8.10,16.41,-28.19
40,80,300,0.58,0.66,1.4,143.41,26.16,59.78,78.94,4.19,23.38,10.61,WWR-NS1_WWR-EW3_ShadeDepth1_SHGCVLT3_ExWall0.png,13.77,17.36,21.93,-18.51,11.44
60,80,300,0.58,0.66,1.4,155.48,29.13,67.79,89.23,7.16,38.05,21.28,WWR-NS2_WWR-EW3_ShadeDepth1_SHGCVLT3_ExWall0.png,23.35,30.69,38.26,-33.96,90.43
80,80,300,0.58,0.66,1.4,168.07,31.94,76.14,93.46,10.31,45.29,29.99,WWR-NS3_WWR-EW3_ShadeDepth1_SHGCVLT3_ExWall0.png,33.34,43.29,55.29,-40.31,174.20
20,20,600,0.58,0.66,1.4,125.97,21.9,47.83,39.44,1.2,0.38,0.46,WWR-NS0_WWR-EW0_ShadeDepth2_SHGCVLT3_ExWall0.png,-0.06,-1.75,-2.45,40.79,-68.09
40,20,600,0.58,0.66,1.4,134.4,23.98,54.07,67.6,2.09,16.21,7.02,WWR-NS1_WWR-EW0_ShadeDepth2_SHGCVLT3_ExWall0.png,6.62,7.58,10.28,-1.49,-44.41
60,20,600,0.58,0.66,1.4,146.34,27.12,62.31,80.15,4.54,34.89,17.58,WWR-NS2_WWR-EW0_ShadeDepth2_SHGCVLT3_ExWall0.png,16.10,21.67,27.09,-20.33,20.74
80,20,600,0.58,0.66,1.4,159.31,29.96,70.91,86.84,7.56,43.22,27.36,WWR-NS3_WWR-EW0_ShadeDepth2_SHGCVLT3_ExWall0.png,26.39,34.41,44.63,-30.37,101.06
20,40,600,0.58,0.66,1.4,127.56,22.33,49.02,44.84,1.36,0.39,0.57,WWR-NS0_WWR-EW1_ShadeDepth2_SHGCVLT3_ExWall0.png,1.20,0.18,-0.02,32.68,-63.83
40,40,600,0.58,0.66,1.4,135.79,24.29,54.95,71.42,2.26,16.26,7.32,WWR-NS1_WWR-EW1_ShadeDepth2_SHGCVLT3_ExWall0.png,7.73,8.97,12.07,-7.22,-39.89
60,40,600,0.58,0.66,1.4,147.63,27.36,63.18,83.35,4.72,34.91,17.84,WWR-NS2_WWR-EW1_ShadeDepth2_SHGCVLT3_ExWall0.png,17.12,22.75,28.86,-25.13,25.53
80,40,600,0.58,0.66,1.4,160.52,30.24,71.64,89.57,7.77,43.22,27.58,WWR-NS3_WWR-EW1_ShadeDepth2_SHGCVLT3_ExWall0.png,27.35,35.67,46.11,-34.47,106.65
20,60,600,0.58,0.66,1.4,129.82,22.82,50.44,50.2,1.76,0.42,0.64,WWR-NS0_WWR-EW2_ShadeDepth2_SHGCVLT3_ExWall0.png,2.99,2.38,2.88,24.64,-53.19
40,60,600,0.58,0.66,1.4,137.76,24.8,56.18,75.12,2.69,16.42,7.89,WWR-NS1_WWR-EW2_ShadeDepth2_SHGCVLT3_ExWall0.png,9.29,11.26,14.58,-12.78,-28.46
60,60,600,0.58,0.66,1.4,149.27,27.46,64.3,86.44,5.2,34.93,18.21,WWR-NS2_WWR-EW2_ShadeDepth2_SHGCVLT3_ExWall0.png,18.42,23.19,31.14,-29.77,38.30
80,60,600,0.58,0.66,1.4,162.09,30.65,72.63,91.81,8.29,43.22,27.73,WWR-NS3_WWR-EW2_ShadeDepth2_SHGCVLT3_ExWall0.png,28.59,37.51,48.13,-37.83,120.48
20,80,600,0.58,0.66,1.4,131.98,23.15,51.94,54.19,2.23,0.4,0.76,WWR-NS0_WWR-EW3_ShadeDepth2_SHGCVLT3_ExWall0.png,4.70,3.86,5.94,18.65,-40.69
40,80,600,0.58,0.66,1.4,140.84,25.44,57.63,78.04,3.19,17.37,8.32,WWR-NS1_WWR-EW3_ShadeDepth2_SHGCVLT3_ExWall0.png,11.73,14.13,17.54,-17.16,-15.16
60,80,600,0.58,0.66,1.4,151.24,27.9,65.45,88.76,5.73,34.98,18.56,WWR-NS2_WWR-EW3_ShadeDepth2_SHGCVLT3_ExWall0.png,19.98,25.17,33.49,-33.25,52.39
80,80,600,0.58,0.66,1.4,163.85,31.04,73.67,93.23,8.87,43.24,28.04,WWR-NS3_WWR-EW3_ShadeDepth2_SHGCVLT3_ExWall0.png,29.99,39.26,50.25,-39.96,135.90
20,20,900,0.58,0.66,1.4,125.17,21.7,47.33,38.29,0.98,0.1,0.19,WWR-NS0_WWR-EW0_ShadeDepth3_SHGCVLT3_ExWall0.png,-0.70,-2.65,-3.47,42.52,-73.94
